division,esquema,clave_original,codigo_postal,nombre_original,fecha_extraccion
DES,MASIVO,MASS000128,46768,SAN 78,2025-01-25
DES,MASIVO,MASS000129,10420,LOTE 38,2025-03-30
DES,MASIVO,MASS000130,79153,VILLAS DE 752,2024-07-21
DES,MASIVO,MASS000131,84659,INDUSTRIAL 399,2025-01-03
DES,MASIVO,MASS000132,80733,COMERCIAL 686,2024-09-08
DES,MASIVO,MASS000133,29784,AMPLIACION 731,2025-03-21
DES,MASIVO,MASS000134,77667,INDUSTRIAL 165,2024-06-04
DES,MASIVO,MASS000135,65459,PUEBLO 93,2024-11-23
DES,MASIVO,MASS000136,66313,RINCON DE 861,2024-09-03
DES,MASIVO,MASS000137,47295,LOMAS DE 244,2025-01-12
DES,MASIVO,MASS000138,62025,RESIDENCIAL 796,2024-08-21
DES,MASIVO,MASS000139,64389,SECTOR 824,2025-03-15
DES,MASIVO,MASS000140,94771,ZONA 717,2024-08-15
DES,MASIVO,MASS000141,79644,MANZANA 404,2024-08-07
DES,MASIVO,MASS000142,38837,AMPLIACION 568,2025-04-17
DES,MASIVO,MASS000143,61077,BARRIO 288,2025-05-13
DES,MASIVO,MASS000144,72456,FRACCIONAMIENTO 643,2024-09-20
DES,MASIVO,MASS000145,32628,ZONA 782,2024-11-11
DES,MASIVO,MASS000146,57886,NUEVA 39,2024-12-30
DES,MASIVO,MASS000147,34610,VIEJA 327,2024-07-14
DES,MASIVO,MASS000148,75199,RESID 258,2025-04-05
DES,MASIVO,MASS000149,34586,MANZANA 271,2025-01-31
DES,MASIVO,MASS000150,21494,RINCON DE 115,2025-02-13
DES,MASIVO,MASS000151,94508,  BARRIO 379  ,2024-11-11
DES,MASIVO,MASS000152,56836,VILLAS DE 518,2024-10-26
DES,MASIVO,MASS000153,72255,JARDINES DE 853,2025-03-22
DES,MASIVO,MASS000154,36435,CONJUNTO HABITACIONAL 845,2024-12-17
DES,MASIVO,MASS000155,87495,MANZANA 836,2024-09-01
DES,MASIVO,MASS000156,53878,BARRIO 195,2024-06-19
DES,MASIVO,MASS000157,38481,FRACCIONAMIENTO 803,2024-09-30
DES,MASIVO,MASS000158,57266,JARDINES DE 50,2024-09-18
DES,MASIVO,MASS000159,39687,FRACCIONAMIENTO 742,2024-07-29
DES,MASIVO,MASS000160,39851,JARDINES DE 135,2024-12-08
DES,MASIVO,MASS000161,87941,RINCON DE 280,2025-03-18
DES,MASIVO,MASS000162,48696,LOTE 835,2025-04-24
DES,MASIVO,MASS000163,18881,VILLAS DE 270,2024-06-01
DES,MASIVO,MASS000164,27544,AMPLIACION 262,2024-09-24
DES,MASIVO,MASS000165,22468,UNIDAD HABITACIONAL 643,2024-06-24
DES,MASIVO,MASS000166,22053,JARDINES DE 807,2024-08-15
DES,MASIVO,MASS000167,88612,VIEJA 756,2025-01-15
DES,MASIVO,MASS000168,68061,VIEJA 996,2025-04-08
DES,MASIVO,MASS000169,30422,SECTOR 677,2024-07-08
DES,MASIVO,MASS000170,79049,COMERCIAL 334,2024-06-01
DES,MASIVO,MASS000171,20472,  ZONA 550  ,2024-07-07
DES,MASIVO,MASS000172,76312,JARDINES DE 231,2024-11-08
DES,MASIVO,MASS000173,73341,MANZANA 555,2024-05-28
DES,MASIVO,MASS000174,67795,  SAN 198  ,2025-04-13
DES,MASIVO,MASS000175,90938,RESIDENCIAL 865,2024-06-18
DES,MASIVO,MASS000176,41413,SECTOR 226,2025-03-14
DES,MASIVO,MASS000177,54494,INDUSTRIAL 22,2024-07-05
DES,MASIVO,MASS000178,77062,BARRIO 456,2024-07-03
DES,MASIVO,MASS000179,99427,UNIDAD HABITACIONAL 998,2025-05-10
DES,MASIVO,MASS000180,66145,SAN 198,2024-10-30
DES,MASIVO,MASS000181,90672,JARDINES DE 49,2025-03-06
DES,MASIVO,MASS000182,78371,COMERCIAL 897,2025-03-19
DES,MASIVO,MASS000183,22382,COMERCIAL 281,2025-05-18
DES,MASIVO,MASS000184,66255,SECTOR 890,2024-12-12
DES,MASIVO,MASS000185,38112,NUEVA 18,2024-11-09
DES,MASIVO,MASS000186,25169,JARDINES DE 550,2025-01-20
DES,MASIVO,MASS000187,71065,CENTRO 31,2025-05-06
DES,MASIVO,MASS000188,65173,LOTE 909,2025-03-04
DES,MASIVO,MASS000189,97449,RESIDENCIAL 613,2024-08-01
DES,MASIVO,MASS000190,75880,SECTOR 935,2024-07-09
DES,MASIVO,MASS000191,22410,RESID 822,2024-08-02
DES,MASIVO,MASS000192,41466,CENTRO 956,2024-08-04
DES,MASIVO,MASS000193,48944,COMERCIAL 428,2024-12-31
DES,MASIVO,MASS000194,67019,SECTOR 944,2024-06-23
DES,MASIVO,MASS000195,27024,AMPLIACION 737,2025-01-01
DES,MASIVO,MASS000196,58911,AMPLIACION 630,2025-05-10
DES,MASIVO,MASS000197,96209,CONJUNTO HABITACIONAL 296,2025-01-19
DES,MASIVO,MASS000198,52827,LOTE 701,2025-01-26
DES,MASIVO,MASS000199,11998,MANZANA 619,2024-10-19
DES,MASIVO,MASS000200,17124,ZONA 259,2025-03-14
DES,MASIVO,MASS000201,31203,BARRIO 622,2024-11-05
DES,MASIVO,MASS000202,40396,VIEJA 221,2025-01-12
DES,MASIVO,MASS000203,52962,SANTA 395,2024-11-04
DES,MASIVO,MASS000204,39440,SAN 899,2025-03-31
DES,MASIVO,MASS000205,76460,VIEJA 412,2024-12-15
DES,MASIVO,MASS000206,24190,SECTOR 48_123,2024-10-17
DES,MASIVO,MASS000207,82262,VILLAS DE 474,2024-08-13
DES,MASIVO,MASS000208,86644,UNIDAD HABITACIONAL 646,2025-05-24
DES,MASIVO,MASS000209,66056,SAN 28,2024-12-16
DES,MASIVO,MASS000210,50841,VILLAS DE 498_123,2024-12-31
DES,MASIVO,MASS000211,95168,RINCON DE 54,2024-06-11
DES,MASIVO,MASS000212,72941,MANZANA 683_123,2025-05-22
DES,MASIVO,MASS000213,48807,MANZANA 438,2024-11-23
DES,MASIVO,MASS000214,27763,SANTA 764,2025-02-10
DES,MASIVO,MASS000215,13261,LOMAS DE 50,2024-08-24
DES,MASIVO,MASS000216,41817,CENTRO 704,2024-09-17
DES,MASIVO,MASS000217,15711,CONJUNTO HABITACIONAL 447,2024-07-15
DES,MASIVO,MASS000218,99165,CENTRO 486,2024-08-03
DES,MASIVO,MASS000219,35355,VIEJA 292,2024-07-03
DES,MASIVO,MASS000220,68042,RINCON DE 108,2025-01-28
DES,MASIVO,MASS000221,88011,SECTOR 942,2024-07-13
DES,MASIVO,MASS000222,87905,NUEVA 128,2024-09-08
DES,MASIVO,MASS000223,33030,BARRIO 477,2025-04-08
DES,MASIVO,MASS000224,10511,FRACCIONAMIENTO 680,2025-04-29
DES,MASIVO,MASS000225,25201,UNIDAD HABITACIONAL 394,2024-07-05
DES,MASIVO,MASS000226,83127,UNIDAD HABITACIONAL 624,2024-09-08
DES,MASIVO,MASS000227,67125,INDUSTRIAL 655,2025-03-26
DES,MASIVO,MASS000228,17505,  PUEBLO 78  ,2025-01-22
DES,MASIVO,MASS000229,99083,AMPLIACION 961_123,2024-09-19
DES,MASIVO,MASS000230,67852,ZONA 835,2024-12-03
DES,MASIVO,MASS000231,27293,RINCON DE 178,2024-07-20
DES,MASIVO,MASS000232,13435,SAN 942,2025-03-09
DES,MASIVO,MASS000233,15130,SECTOR 13,2025-05-19
DES,MASIVO,MASS000234,90449,LOTE 130,2024-10-18
DES,MASIVO,MASS000235,75690,AMPLIACION 479,2024-08-16
DES,MASIVO,MASS000236,51572,RINCON DE 783,2025-03-12
DES,MASIVO,MASS000237,22440,SAN 701,2025-02-05
DES,MASIVO,MASS000238,42621,BARRIO 900,2024-07-27
DES,MASIVO,MASS000239,98041,PUEBLO 272,2024-12-14
DES,MASIVO,MASS000240,86412,SAN 919,2024-12-18
DES,MASIVO,MASS000241,66493,INDUSTRIAL 764,2024-08-10
DES,MASIVO,MASS000242,41739,MANZANA 454,2024-07-28
DES,MASIVO,MASS000243,67063,RINCON DE 990,2024-06-06
DES,MASIVO,MASS000244,73756,  UNIDAD HABITACIONAL 297  ,2025-04-23
DES,MASIVO,MASS000245,97617,PUEBLO 884_123,2025-04-21
DES,MASIVO,MASS000246,82625,CONJUNTO HABITACIONAL 516,2024-10-03
DES,MASIVO,MASS000247,30513,PUEBLO 750,2024-09-21
DES,MASIVO,MASS000248,96738,UNIDAD HABITACIONAL 560,2024-10-11
DES,MASIVO,MASS000249,13069,BARRIO 566,2024-08-03
DES,MASIVO,MASS000250,78774,RINCON DE 695,2024-09-19
DES,MASIVO,MASS000251,26070,CENTRO 57,2024-10-24
DES,MASIVO,MASS000252,40856,SECTOR 725,2025-05-06
DES,MASIVO,MASS000253,27599,NUEVA 720,2024-07-01
DES,MASIVO,MASS000254,29428,AMPLIACION 315,2024-08-24
DES,MASIVO,MASS000255,93749,AMPLIACION 862,2025-04-12
DES,MASIVO,MASS000256,31043,MANZANA 91,2025-02-13
DES,MASIVO,MASS000257,52375,VILLAS DE 196,2025-04-09
DES,MASIVO,MASS000258,73663,VILLAS DE 368_123,2025-04-05
DES,MASIVO,MASS000259,40569,CENTRO 46,2024-08-21
DES,MASIVO,MASS000260,37790,SAN 503,2024-10-22
DES,MASIVO,MASS000261,60404,JARDINES DE 160,2025-03-28
DES,MASIVO,MASS000262,87671,LOMAS DE 902,2024-11-03
DES,MASIVO,MASS000263,37965,RINCON DE 943,2024-07-14
DES,MASIVO,MASS000264,45700,JARDINES DE 254,2024-10-28
DES,MASIVO,MASS000265,79083,RESIDENCIAL 293,2024-08-30
DES,MASIVO,MASS000266,33448,SAN 998,2025-04-11
DES,MASIVO,MASS000267,90061,RESIDENCIAL 597,2025-02-07
DES,MASIVO,MASS000268,32335,CENTRO 824,2024-10-13
DES,MASIVO,MASS000269,82748,PUEBLO 721,2025-03-08
DES,MASIVO,MASS000270,98803,UNIDAD HABITACIONAL 626,2025-05-22
DES,MASIVO,MASS000271,18398,LOTE 833,2025-04-08
DES,MASIVO,MASS000272,57412,RINCON DE 311,2024-06-16
DES,MASIVO,MASS000273,87149,SANTA 978_123,2024-10-11
DES,MASIVO,MASS000274,92751,MANZANA 823,2025-01-15
DES,MASIVO,MASS000275,83565,RESIDENCIAL 154,2025-04-19
DES,MASIVO,MASS000276,66905,BARRIO 298,2024-11-14
DES,MASIVO,MASS000277,42545,VIEJA 528,2024-09-18
DES,MASIVO,MASS000278,36553,CONJUNTO HABITACIONAL 870,2024-06-06
DES,MASIVO,MASS000279,65370,RESIDENCIAL 996,2024-11-29
DES,MASIVO,MASS000280,66864,LOMAS DE 803,2025-04-27
DES,MASIVO,MASS000281,34904,VILLAS DE 997,2025-04-02
DES,MASIVO,MASS000282,86925,PUEBLO 717,2025-04-20
DES,MASIVO,MASS000283,46521,SECTOR 328,2024-07-22
DES,MASIVO,MASS000284,75376,JARDINES DE 593,2025-04-19
DES,MASIVO,MASS000285,13564,RESIDENCIAL 636,2025-03-09
DES,MASIVO,MASS000286,66955,AMPLIACION 957,2025-01-11
DES,MASIVO,MASS000287,81251,ZONA 697,2025-04-27
DES,MASIVO,MASS000288,84940,FRACC 111,2024-06-02
DES,MASIVO,MASS000289,77451,ZONA 892,2024-11-21
DES,MASIVO,MASS000290,11574,NUEVA 863,2025-05-26
DES,MASIVO,MASS000291,99191,NUEVA 903,2024-07-29
DES,MASIVO,MASS000292,95944,BARRIO 764,2024-09-18
DES,MASIVO,MASS000293,48908,SANTA 558,2024-08-06
DES,MASIVO,MASS000294,37052,UNIDAD HABITACIONAL 757,2025-04-01
DES,MASIVO,MASS000295,27289,VILLAS DE 666,2025-02-15
DES,MASIVO,MASS000296,65480,LOTE 46,2025-05-01
DES,MASIVO,MASS000297,78833,UNIDAD HABITACIONAL 180,2025-01-03
DES,MASIVO,MASS000298,74981,LOTE 698,2024-07-09
DES,MASIVO,MASS000299,57419,RESIDENCIAL 124,2024-11-22
DES,MASIVO,MASS000300,61918,VIEJA 583,2024-09-25
DES,MASIVO,MASS000301,86113,LOTE 36,2024-11-13
DES,MASIVO,MASS000302,79871,SANTA 732_123,2024-06-11
DES,MASIVO,MASS000303,53105,SECTOR 287,2024-10-12
DES,MASIVO,MASS000304,95340,LOTE 712_123,2024-08-01
DES,MASIVO,MASS000305,15132,INDUSTRIAL 391,2025-01-12
DES,MASIVO,MASS000306,18663,MANZANA 812,2024-10-25
DES,MASIVO,MASS000307,14885,BARRIO 807,2025-01-31
DES,MASIVO,MASS000308,31034,PUEBLO 580,2024-08-06
DES,MASIVO,MASS000309,12032,MANZANA 682_123,2025-05-23
DES,MASIVO,MASS000310,57552,RINCON DE 357,2024-07-28
DES,MASIVO,MASS000311,14152,CONJUNTO HABITACIONAL 972,2024-10-22
DES,MASIVO,MASS000312,94416,NUEVA 556,2024-12-19
DES,MASIVO,MASS000313,96600,NUEVA 308,2024-06-14
DES,MASIVO,MASS000314,12018,LOMAS DE 117,2025-02-23
DES,MASIVO,MASS000315,44107,CENTRO 568,2024-11-22
DES,MASIVO,MASS000316,14376,SECTOR 354,2024-06-08
DES,MASIVO,MASS000317,67195,NUEVA 469,2024-06-22
DES,MASIVO,MASS000318,18649,VIEJA 25,2024-06-01
DES,MASIVO,MASS000319,74747,FRACCIONAMIENTO 211,2024-06-05
DES,MASIVO,MASS000320,40466,LOTE 392,2024-10-11
DES,MASIVO,MASS000321,37612,VILLAS DE 335,2024-11-22
DES,MASIVO,MASS000322,74172,RINCON DE 243,2025-03-06
DES,MASIVO,MASS000323,47609,JARDINES DE 263,2025-01-26
DES,MASIVO,MASS000324,73071,JARDINES DE 784,2025-04-19
DES,MASIVO,MASS000325,13601,VIEJA 83,2024-08-20
DES,MASIVO,MASS000326,80688,PUEBLO 359,2025-02-08
DES,MASIVO,MASS000327,61267,FRACCIONAMIENTO 500,2025-03-03
DES,MASIVO,MASS000328,99620,ZONA 876,2024-08-04
DES,MASIVO,MASS000329,87598,JARDINES DE 877,2024-10-24
DES,MASIVO,MASS000330,31514,RESIDENCIAL 728,2024-08-04
DES,MASIVO,MASS000331,36386,CONJUNTO HABITACIONAL 210,2025-05-15
DES,MASIVO,MASS000332,12279,LOTE 937_123,2025-03-31
DES,MASIVO,MASS000333,61290,PUEBLO 588,2025-05-03
DES,MASIVO,MASS000334,34465,JARDINES DE 903,2024-07-18
DES,MASIVO,MASS000335,29058,LOMAS DE 587,2024-08-24
DES,MASIVO,MASS000336,55400,  VILLAS DE 817  ,2025-02-03
DES,MASIVO,MASS000337,59886,BARRIO 596,2024-10-28
DES,MASIVO,MASS000338,28208,  LOMAS DE 301  ,2024-08-24
DES,MASIVO,MASS000339,65517,RINCON DE 549,2024-07-29
DES,MASIVO,MASS000340,29543,BARRIO 844,2025-05-28
DES,MASIVO,MASS000341,57775,FRACCIONAMIENTO 995,2025-03-04
DES,MASIVO,MASS000342,96752,MANZANA 730,2025-03-06
DES,MASIVO,MASS000343,96999,COMERCIAL 490,2024-10-23
DES,MASIVO,MASS000344,92510,  CONJUNTO HABITACIONAL 765  ,2025-03-12
DES,MASIVO,MASS000345,24821,MANZANA 936,2024-06-15
DES,MASIVO,MASS000346,76801,LOMAS DE 133,2024-12-13
DES,MASIVO,MASS000347,22793,RINCON DE 918,2025-01-11
DES,MASIVO,MASS000348,50468,RESIDENCIAL 177,2024-11-09
DES,MASIVO,MASS000349,23663,UNIDAD HABITACIONAL 801,2024-12-24
DES,MASIVO,MASS000350,15830,FRACC 367,2025-03-11
DES,MASIVO,MASS000351,79674,VIEJA 4,2024-09-18
DES,MASIVO,MASS000352,43039,CENTRO 708,2024-12-22
DES,MASIVO,MASS000353,15573,FRACC 530,2025-03-09
DES,MASIVO,MASS000354,81013,VIEJA 527,2024-09-29
DES,MASIVO,MASS000355,84768,COMERCIAL 810,2024-08-23
DES,MASIVO,MASS000356,50755,CONJUNTO HABITACIONAL 478,2024-10-15
DES,MASIVO,MASS000357,33405,SAN 238,2025-01-27
DES,MASIVO,MASS000358,12442,SAN 321,2024-09-20
DES,MASIVO,MASS000359,11591,AMPLIACION 833,2025-05-11
DES,MASIVO,MASS000360,91192,FRACCIONAMIENTO 203,2024-07-27
DES,MASIVO,MASS000361,98162,NUEVA 587,2024-08-14
DES,MASIVO,MASS000362,42789,VILLAS DE 339,2025-05-06
DES,MASIVO,MASS000363,92597,LOTE 719,2024-11-16
DES,MASIVO,MASS000364,47756,VIEJA 922,2025-02-10
DES,MASIVO,MASS000365,45490,NUEVA 108,2025-02-14
DES,MASIVO,MASS000366,60553,VIEJA 720_123,2024-09-29
DES,MASIVO,MASS000367,93201,RESIDENCIAL 641,2024-09-14
DES,MASIVO,MASS000368,32575,SAN 425,2024-12-09
DES,MASIVO,MASS000369,60346,SANTA 215,2024-12-14
DES,MASIVO,MASS000370,22682,COMERCIAL 707,2024-08-28
DES,MASIVO,MASS000371,95894,SANTA 150,2024-09-12
DES,MASIVO,MASS000372,59690,LOMAS DE 292,2024-09-25
DES,MASIVO,MASS000373,73068,JARDINES DE 148_123,2024-06-25
DES,MASIVO,MASS000374,53387,COMERCIAL 914,2024-10-31
DES,MASIVO,MASS000375,42955,RINCON DE 817,2024-11-07
DES,MASIVO,MASS000376,13740,SAN 794,2024-08-02
DES,MASIVO,MASS000377,43903,SANTA 804,2025-05-15
DES,MASIVO,MASS000378,96024,MANZANA 791,2025-03-10
DES,MASIVO,MASS000379,50054,SECTOR 997,2024-08-22
DES,MASIVO,MASS000380,82503,BARRIO 70,2025-01-19
DES,MASIVO,MASS000381,28943,VILLAS DE 903,2025-05-18
DES,MASIVO,MASS000382,36832,SAN 193,2025-04-02
DES,MASIVO,MASS000383,57925,VILLAS DE 409,2024-09-10
DES,MASIVO,MASS000384,52701,CONJUNTO HABITACIONAL 446,2024-12-27
DES,MASIVO,MASS000385,42836,JARDINES DE 792,2024-06-15
DES,MASIVO,MASS000386,89752,PUEBLO 467,2024-11-15
DES,MASIVO,MASS000387,60369,JARDINES DE 955,2025-05-24
DES,MASIVO,MASS000388,52490,COMERCIAL 411,2024-09-24
DES,MASIVO,MASS000389,35971,ZONA 574,2024-11-06
DES,MASIVO,MASS000390,59398,VILLAS DE 831,2024-09-18
DES,MASIVO,MASS000391,10451,LOTE 32,2025-03-12
DES,MASIVO,MASS000392,84913,BARRIO 430,2025-04-18
DES,MASIVO,MASS000393,72749,RINCON DE 129,2024-11-25
DES,MASIVO,MASS000394,83174,LOTE 807,2025-02-23
DES,MASIVO,MASS000395,49693,VIEJA 688,2024-08-19
DES,MASIVO,MASS000396,16480,COMERCIAL 881,2024-11-19
DES,MASIVO,MASS000397,16786,ZONA 176,2024-09-03
DES,MASIVO,MASS000398,28623,RINCON DE 327,2024-10-13
DES,MASIVO,MASS000399,85596,RESIDENCIAL 754,2025-04-23
