texto_original,texto_limpio,valor_normalizado,metodo_usado,confianza,explicacion,requiere_revision,categoria,tipo_dato,id_original,division,esquema,clave_original,fecha_proceso
SANTA 942,SANTA,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA',True,SIN_MATCH,colonia,13,DES,MASIVO,MASS000013,2025-05-28 11:21:40
LOTE 538,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,14,DES,MASIVO,MASS000014,2025-05-28 11:21:40
MANZANA 812,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,15,DES,MASIVO,MASS000015,2025-05-28 11:21:40
MANZANA 313,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,16,DES,MASIVO,MASS000016,2025-05-28 11:21:40
SAN 520,SAN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN',True,SIN_MATCH,colonia,17,DES,MASIVO,MASS000017,2025-05-28 11:21:40
COMERCIAL 616,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,18,DES,MASIVO,MASS000018,2025-05-28 11:21:40
UNIDAD HABITACIONAL 516,UNIDAD HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'UNIDAD HABITACIONAL',True,SIN_MATCH,colonia,19,DES,MASIVO,MASS000019,2025-05-28 11:21:40
LOTE 879,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,20,DES,MASIVO,MASS000020,2025-05-28 11:21:40
RINCON DE 35,RINCON DE 35,,SIN_MATCH,0.0,No se encontró coincidencia para 'RINCON DE 35',True,SIN_MATCH,colonia,21,DES,MASIVO,MASS000021,2025-05-28 11:21:40
BARRIO 281,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,22,DES,MASIVO,MASS000022,2025-05-28 11:21:40
FRACCIONAMIENTO 666,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,23,DES,MASIVO,MASS000023,2025-05-28 11:21:40
SAN 877,SAN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN',True,SIN_MATCH,colonia,24,DES,MASIVO,MASS000024,2025-05-28 11:21:40
LOMAS DE 736,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,25,DES,MASIVO,MASS000025,2025-05-28 11:21:40
JARDINES DE 147,JARDINES DE,JARDINES DE GUADALUPE,FUZZY_BAJO,0.69,Fuzzy match bajo: 'JARDINES DE' ≈ 'JARDINES DE GUADALUPE' (69%),True,REVISAR,colonia,26,DES,MASIVO,MASS000026,2025-05-28 11:21:40
LOMAS DE 310,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,27,DES,MASIVO,MASS000027,2025-05-28 11:21:40
CONJUNTO HABITACIONAL 291,CONJUNTO HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'CONJUNTO HABITACIONAL',True,SIN_MATCH,colonia,28,DES,MASIVO,MASS000028,2025-05-28 11:21:40
UNIDAD HABITACIONAL 698,UNIDAD HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'UNIDAD HABITACIONAL',True,SIN_MATCH,colonia,29,DES,MASIVO,MASS000029,2025-05-28 11:21:40
NUEVA 102_123,NUEVA,,SIN_MATCH,0.0,No se encontró coincidencia para 'NUEVA',True,SIN_MATCH,colonia,30,DES,MASIVO,MASS000030,2025-05-28 11:21:40
NUEVA 982,NUEVA,,SIN_MATCH,0.0,No se encontró coincidencia para 'NUEVA',True,SIN_MATCH,colonia,31,DES,MASIVO,MASS000031,2025-05-28 11:21:40
VIEJA 211,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,32,DES,MASIVO,MASS000032,2025-05-28 11:21:40
  SANTA 46  ,SANTA 46,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA 46',True,SIN_MATCH,colonia,33,DES,MASIVO,MASS000033,2025-05-28 11:21:40
  JARDINES DE 141  ,JARDINES DE,JARDINES DE GUADALUPE,FUZZY_BAJO,0.69,Fuzzy match bajo: 'JARDINES DE' ≈ 'JARDINES DE GUADALUPE' (69%),True,REVISAR,colonia,34,DES,MASIVO,MASS000034,2025-05-28 11:21:40
LOTE 764,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,35,DES,MASIVO,MASS000035,2025-05-28 11:21:40
UNIDAD HABITACIONAL 59,UNIDAD HABITACIONAL 59,,SIN_MATCH,0.0,No se encontró coincidencia para 'UNIDAD HABITACIONAL 59',True,SIN_MATCH,colonia,36,DES,MASIVO,MASS000036,2025-05-28 11:21:40
RINCON DE 602,RINCON DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'RINCON DE',True,SIN_MATCH,colonia,37,DES,MASIVO,MASS000037,2025-05-28 11:21:40
FRACCIONAMIENTO 201,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,38,DES,MASIVO,MASS000038,2025-05-28 11:21:40
FRACC 516,FRACC,FRACCIONAMIENTO,EQUIVALENCIA,1.0,Equivalencia: FRACC → FRACCIONAMIENTO,False,EXACTO,colonia,39,DES,MASIVO,MASS000039,2025-05-28 11:21:40
MANZANA 811,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,40,DES,MASIVO,MASS000040,2025-05-28 11:21:40
AMPLIACION 998,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,41,DES,MASIVO,MASS000041,2025-05-28 11:21:40
LOTE 55,LOTE 55,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE 55',True,SIN_MATCH,colonia,42,DES,MASIVO,MASS000042,2025-05-28 11:21:40
SANTA 859,SANTA,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA',True,SIN_MATCH,colonia,43,DES,MASIVO,MASS000043,2025-05-28 11:21:40
CONJUNTO HABITACIONAL 121,CONJUNTO HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'CONJUNTO HABITACIONAL',True,SIN_MATCH,colonia,44,DES,MASIVO,MASS000044,2025-05-28 11:21:40
BARRIO 618,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,45,DES,MASIVO,MASS000045,2025-05-28 11:21:40
BARRIO 828,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,46,DES,MASIVO,MASS000046,2025-05-28 11:21:40
FRACCIONAMIENTO 11,FRACCIONAMIENTO 11,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO 11',True,SIN_MATCH,colonia,47,DES,MASIVO,MASS000047,2025-05-28 11:21:40
CENTRO 735,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,48,DES,MASIVO,MASS000048,2025-05-28 11:21:40
  SAN 321  ,SAN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN',True,SIN_MATCH,colonia,49,DES,MASIVO,MASS000049,2025-05-28 11:21:40
LOMAS DE 304,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,50,DES,MASIVO,MASS000050,2025-05-28 11:21:40
BARRIO 668,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,51,DES,MASIVO,MASS000051,2025-05-28 11:21:40
CONJUNTO HABITACIONAL 169,CONJUNTO HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'CONJUNTO HABITACIONAL',True,SIN_MATCH,colonia,52,DES,MASIVO,MASS000052,2025-05-28 11:21:40
LOMAS DE 261,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,53,DES,MASIVO,MASS000053,2025-05-28 11:21:40
PUEBLO 900,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,54,DES,MASIVO,MASS000054,2025-05-28 11:21:40
MANZANA 331,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,55,DES,MASIVO,MASS000055,2025-05-28 11:21:40
ZONA 465,ZONA,ZONA RÍO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA' ≈ 'ZONA RÍO' (73%),True,REVISAR,colonia,56,DES,MASIVO,MASS000056,2025-05-28 11:21:40
PUEBLO 375,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,57,DES,MASIVO,MASS000057,2025-05-28 11:21:40
COMERCIAL 796,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,58,DES,MASIVO,MASS000058,2025-05-28 11:21:40
  FRACCIONAMIENTO 395  ,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,59,DES,MASIVO,MASS000059,2025-05-28 11:21:40
FRACC 767,FRACC,FRACCIONAMIENTO,EQUIVALENCIA,1.0,Equivalencia: FRACC → FRACCIONAMIENTO,False,EXACTO,colonia,60,DES,MASIVO,MASS000060,2025-05-28 11:21:40
ZONA 226,ZONA,ZONA RÍO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA' ≈ 'ZONA RÍO' (73%),True,REVISAR,colonia,61,DES,MASIVO,MASS000061,2025-05-28 11:21:40
BARRIO 248,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,62,DES,MASIVO,MASS000062,2025-05-28 11:21:40
VIEJA 594,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,63,DES,MASIVO,MASS000063,2025-05-28 11:21:40
  PUEBLO 507  ,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,64,DES,MASIVO,MASS000064,2025-05-28 11:21:40
JARDINES DE 757,JARDINES DE,JARDINES DE GUADALUPE,FUZZY_BAJO,0.69,Fuzzy match bajo: 'JARDINES DE' ≈ 'JARDINES DE GUADALUPE' (69%),True,REVISAR,colonia,65,DES,MASIVO,MASS000065,2025-05-28 11:21:40
PUEBLO 904,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,66,DES,MASIVO,MASS000066,2025-05-28 11:21:40
COMERCIAL 559,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,67,DES,MASIVO,MASS000067,2025-05-28 11:21:40
BARRIO 131,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,68,DES,MASIVO,MASS000068,2025-05-28 11:21:40
  SANTA 971  ,SANTA,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA',True,SIN_MATCH,colonia,69,DES,MASIVO,MASS000069,2025-05-28 11:21:40
AMPLIACION 211,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,70,DES,MASIVO,MASS000070,2025-05-28 11:21:40
RESID 644,RESID,RESIDENCIAL,EQUIVALENCIA,1.0,Equivalencia: RESID → RESIDENCIAL,False,EXACTO,colonia,71,DES,MASIVO,MASS000071,2025-05-28 11:21:40
JARDINES DE 743,JARDINES DE,JARDINES DE GUADALUPE,FUZZY_BAJO,0.69,Fuzzy match bajo: 'JARDINES DE' ≈ 'JARDINES DE GUADALUPE' (69%),True,REVISAR,colonia,72,DES,MASIVO,MASS000072,2025-05-28 11:21:40
ZONA 850,ZONA,ZONA RÍO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA' ≈ 'ZONA RÍO' (73%),True,REVISAR,colonia,73,DES,MASIVO,MASS000073,2025-05-28 11:21:40
SECTOR 116_123,SECTOR,,SIN_MATCH,0.0,No se encontró coincidencia para 'SECTOR',True,SIN_MATCH,colonia,74,DES,MASIVO,MASS000074,2025-05-28 11:21:40
COMERCIAL 83,COMERCIAL 83,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL 83',True,SIN_MATCH,colonia,75,DES,MASIVO,MASS000075,2025-05-28 11:21:40
PUEBLO 222,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,76,DES,MASIVO,MASS000076,2025-05-28 11:21:40
SECTOR 847,SECTOR,,SIN_MATCH,0.0,No se encontró coincidencia para 'SECTOR',True,SIN_MATCH,colonia,77,DES,MASIVO,MASS000077,2025-05-28 11:21:40
SAN 369,SAN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN',True,SIN_MATCH,colonia,78,DES,MASIVO,MASS000078,2025-05-28 11:21:40
JARDINES DE 35,JARDINES DE 35,JARDINES DE GUADALUPE,FUZZY_BAJO,0.69,Fuzzy match bajo: 'JARDINES DE 35' ≈ 'JARDINES DE GUADALUPE' (69%),True,REVISAR,colonia,79,DES,MASIVO,MASS000079,2025-05-28 11:21:40
LOTE 767_123,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,80,DES,MASIVO,MASS000080,2025-05-28 11:21:40
COMERCIAL 65,COMERCIAL 65,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL 65',True,SIN_MATCH,colonia,81,DES,MASIVO,MASS000081,2025-05-28 11:21:40
VIEJA 781,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,82,DES,MASIVO,MASS000082,2025-05-28 11:21:40
CENTRO 834,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,83,DES,MASIVO,MASS000083,2025-05-28 11:21:40
  LOMAS DE 748  ,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,84,DES,MASIVO,MASS000084,2025-05-28 11:21:40
COMERCIAL 156,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,85,DES,MASIVO,MASS000085,2025-05-28 11:21:40
ZONA 955,ZONA,ZONA RÍO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA' ≈ 'ZONA RÍO' (73%),True,REVISAR,colonia,86,DES,MASIVO,MASS000086,2025-05-28 11:21:40
RINCON DE 202,RINCON DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'RINCON DE',True,SIN_MATCH,colonia,87,DES,MASIVO,MASS000087,2025-05-28 11:21:40
CENTRO 972,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,88,DES,MASIVO,MASS000088,2025-05-28 11:21:40
UNIDAD HABITACIONAL 170,UNIDAD HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'UNIDAD HABITACIONAL',True,SIN_MATCH,colonia,89,DES,MASIVO,MASS000089,2025-05-28 11:21:40
CENTRO 646,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,90,DES,MASIVO,MASS000090,2025-05-28 11:21:40
  ZONA 13  ,ZONA 13,ZONA RÍO,FUZZY_BAJO,0.71,Fuzzy match bajo: 'ZONA 13' ≈ 'ZONA RÍO' (71%),True,REVISAR,colonia,91,DES,MASIVO,MASS000091,2025-05-28 11:21:40
AMPLIACION 491,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,92,DES,MASIVO,MASS000092,2025-05-28 11:21:40
VIEJA 543,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,93,DES,MASIVO,MASS000093,2025-05-28 11:21:40
INDUSTRIAL 882,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,94,DES,MASIVO,MASS000094,2025-05-28 11:21:40
LOTE 297,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,95,DES,MASIVO,MASS000095,2025-05-28 11:21:40
PUEBLO 864,PUEBLO,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO',True,SIN_MATCH,colonia,96,DES,MASIVO,MASS000096,2025-05-28 11:21:40
LOMAS DE 971,LOMAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOMAS DE',True,SIN_MATCH,colonia,97,DES,MASIVO,MASS000097,2025-05-28 11:21:40
  MANZANA 312  ,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,98,DES,MASIVO,MASS000098,2025-05-28 11:21:40
CONJUNTO HABITACIONAL 938,CONJUNTO HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'CONJUNTO HABITACIONAL',True,SIN_MATCH,colonia,99,DES,MASIVO,MASS000099,2025-05-28 11:21:40
INDUSTRIAL 625,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,100,DES,MASIVO,MASS000100,2025-05-28 11:21:40
CENTRO 424,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,101,DES,MASIVO,MASS000101,2025-05-28 11:21:40
NUEVA 671_123,NUEVA,,SIN_MATCH,0.0,No se encontró coincidencia para 'NUEVA',True,SIN_MATCH,colonia,102,DES,MASIVO,MASS000102,2025-05-28 11:21:40
UNIDAD HABITACIONAL 307,UNIDAD HABITACIONAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'UNIDAD HABITACIONAL',True,SIN_MATCH,colonia,103,DES,MASIVO,MASS000103,2025-05-28 11:21:40
NUEVA 186,NUEVA,,SIN_MATCH,0.0,No se encontró coincidencia para 'NUEVA',True,SIN_MATCH,colonia,104,DES,MASIVO,MASS000104,2025-05-28 11:21:40
VIEJA 865,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,105,DES,MASIVO,MASS000105,2025-05-28 11:21:40
CENTRO 286,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,106,DES,MASIVO,MASS000106,2025-05-28 11:21:40
VIEJA 752,VIEJA,,SIN_MATCH,0.0,No se encontró coincidencia para 'VIEJA',True,SIN_MATCH,colonia,107,DES,MASIVO,MASS000107,2025-05-28 11:21:40
SANTA 129,SANTA,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA',True,SIN_MATCH,colonia,108,DES,MASIVO,MASS000108,2025-05-28 11:21:40
RESIDENCIAL 747,RESIDENCIAL,RESIDENCIAL SAN AGUSTÍN,FUZZY_BAJO,0.67,Fuzzy match bajo: 'RESIDENCIAL' ≈ 'RESIDENCIAL SAN AGUSTÍN' (67%),True,REVISAR,colonia,109,DES,MASIVO,MASS000109,2025-05-28 11:21:40
MANZANA 120,MANZANA,,SIN_MATCH,0.0,No se encontró coincidencia para 'MANZANA',True,SIN_MATCH,colonia,110,DES,MASIVO,MASS000110,2025-05-28 11:21:40
ZONA 277,ZONA,ZONA RÍO,FUZZY_BAJO,0.73,Fuzzy match bajo: 'ZONA' ≈ 'ZONA RÍO' (73%),True,REVISAR,colonia,111,DES,MASIVO,MASS000111,2025-05-28 11:21:40
AMPLIACION 18_123,AMPLIACION 18,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION 18',True,SIN_MATCH,colonia,112,DES,MASIVO,MASS000112,2025-05-28 11:21:40
INDUSTRIAL 712,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,113,DES,MASIVO,MASS000113,2025-05-28 11:21:40
SANTA 105,SANTA,,SIN_MATCH,0.0,No se encontró coincidencia para 'SANTA',True,SIN_MATCH,colonia,114,DES,MASIVO,MASS000114,2025-05-28 11:21:40
BARRIO 286,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,115,DES,MASIVO,MASS000115,2025-05-28 11:21:40
COMERCIAL 671,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,116,DES,MASIVO,MASS000116,2025-05-28 11:21:40
SAN 643,SAN,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN',True,SIN_MATCH,colonia,117,DES,MASIVO,MASS000117,2025-05-28 11:21:40
COMERCIAL 82,COMERCIAL 82,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL 82',True,SIN_MATCH,colonia,118,DES,MASIVO,MASS000118,2025-05-28 11:21:40
CENTRO 125,CENTRO,CENTRO,EQUIVALENCIA,1.0,Equivalencia: CENTRO → CENTRO,False,EXACTO,colonia,119,DES,MASIVO,MASS000119,2025-05-28 11:21:40
FRACCIONAMIENTO 997,FRACCIONAMIENTO,,SIN_MATCH,0.0,No se encontró coincidencia para 'FRACCIONAMIENTO',True,SIN_MATCH,colonia,120,DES,MASIVO,MASS000120,2025-05-28 11:21:40
COMERCIAL 367_123,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,121,DES,MASIVO,MASS000121,2025-05-28 11:21:40
RESID 889,RESID,RESIDENCIAL,EQUIVALENCIA,1.0,Equivalencia: RESID → RESIDENCIAL,False,EXACTO,colonia,122,DES,MASIVO,MASS000122,2025-05-28 11:21:40
SECTOR 937,SECTOR,,SIN_MATCH,0.0,No se encontró coincidencia para 'SECTOR',True,SIN_MATCH,colonia,123,DES,MASIVO,MASS000123,2025-05-28 11:21:40
COMERCIAL 192,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,124,DES,MASIVO,MASS000124,2025-05-28 11:21:40
BARRIO 176,BARRIO,,SIN_MATCH,0.0,No se encontró coincidencia para 'BARRIO',True,SIN_MATCH,colonia,125,DES,MASIVO,MASS000125,2025-05-28 11:21:40
LOTE 200,LOTE,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE',True,SIN_MATCH,colonia,126,DES,MASIVO,MASS000126,2025-05-28 11:21:40
INDUSTRIAL 480,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,127,DES,MASIVO,MASS000127,2025-05-28 11:21:40
SAN 78,SAN 78,,SIN_MATCH,0.0,No se encontró coincidencia para 'SAN 78',True,SIN_MATCH,colonia,128,DES,MASIVO,MASS000128,2025-05-28 11:21:40
LOTE 38,LOTE 38,,SIN_MATCH,0.0,No se encontró coincidencia para 'LOTE 38',True,SIN_MATCH,colonia,129,DES,MASIVO,MASS000129,2025-05-28 11:21:40
VILLAS DE 752,VILLAS DE,,SIN_MATCH,0.0,No se encontró coincidencia para 'VILLAS DE',True,SIN_MATCH,colonia,130,DES,MASIVO,MASS000130,2025-05-28 11:21:40
INDUSTRIAL 399,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,131,DES,MASIVO,MASS000131,2025-05-28 11:21:40
COMERCIAL 686,COMERCIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'COMERCIAL',True,SIN_MATCH,colonia,132,DES,MASIVO,MASS000132,2025-05-28 11:21:40
AMPLIACION 731,AMPLIACION,,SIN_MATCH,0.0,No se encontró coincidencia para 'AMPLIACION',True,SIN_MATCH,colonia,133,DES,MASIVO,MASS000133,2025-05-28 11:21:40
INDUSTRIAL 165,INDUSTRIAL,,SIN_MATCH,0.0,No se encontró coincidencia para 'INDUSTRIAL',True,SIN_MATCH,colonia,134,DES,MASIVO,MASS000134,2025-05-28 11:21:40
PUEBLO 93,PUEBLO 93,,SIN_MATCH,0.0,No se encontró coincidencia para 'PUEBLO 93',True,SIN_MATCH,colonia,135,DES,MASIVO,MASS000135,2025-05-28 11:21:40
